Provider,ClaimCount,total_reimbursed,mean_claim_amount,max_claim_amount,InpatientReimbursement,OutpatientReimbursement,Inp_Outp_Reimbursement_Ratio,AvgAge,PercDeceased,Avg_ChronicCond_Alzheimer,Avg_ChronicCond_Heartfailure,Avg_ChronicCond_KidneyDisease,Avg_ChronicCond_Cancer,Avg_ChronicCond_ObstrPulmonary,Avg_ChronicCond_Depression,Avg_ChronicCond_Diabetes,Avg_ChronicCond_IschemicHeart,Avg_ChronicCond_Osteoporasis,Avg_ChronicCond_rheumatoidarthritis,Avg_ChronicCond_stroke,UniqueDiagnosisCodeCount,UniqueProcedureCodeCount,TotalClaimCount,AvgMonthlyClaimCount,MaxMonthlyClaimCount,TotalReimbursementOverall,AvgMonthlyReimbursement,MaxMonthlyReimbursement,UniqueAttendingPhysicians,UniqueOperatingPhysicians,UniqueOtherPhysicians,UniqueStates,UniqueCounties,PotentialFraud
PRV51001,24.0,104340.0,4347.5,42000.0,97000.0,7340.0,13.215258855585832,78.75,0.0,1.4166666666666667,1.25,1.3333333333333333,1.7916666666666667,1.625,1.625,1.1666666666666667,1.0833333333333333,1.75,1.6666666666666667,1.75,67.0,2.0,24.0,2.6666666666666665,5.0,104340.0,11593.333333333334,55000.0,13.0,2.0,7.0,1.0,7.0,No
PRV51003,132.0,605670.0,4588.409090909091,57000.0,573000.0,32670.0,17.53902662993572,69.08333333333333,0.0,1.5757575757575757,1.393939393939394,1.5151515151515151,1.9242424242424243,1.6893939393939394,1.5909090909090908,1.2424242424242424,1.1515151515151516,1.75,1.7121212121212122,1.9090909090909087,358.0,32.0,132.0,10.153846153846152,16.0,605670.0,46590.0,128550.0,44.0,2.0,22.0,3.0,23.0,Yes
PRV51004,143.0,51830.0,362.4475524475524,3300.0,0.0,51830.0,0.0,71.3076923076923,0.0,1.573426573426573,1.4055944055944056,1.6573426573426573,1.8951048951048952,1.7202797202797202,1.573426573426573,1.2937062937062938,1.2727272727272727,1.6643356643356644,1.6923076923076923,1.881118881118881,244.0,0.0,143.0,11.916666666666666,18.0,51830.0,4319.166666666667,7340.0,37.0,0.0,25.0,9.0,27.0,No
PRV51005,1149.0,278960.0,242.78503046127068,4080.0,0.0,278960.0,0.0,69.51958224543081,0.0,1.6335944299390774,1.4160139251523065,1.5630983463881636,1.8572671888598784,1.7449956483899045,1.5848563968668408,1.3124456048738034,1.2315056570931244,1.7049608355091384,1.711923411662315,1.893820713664056,1200.0,0.0,1149.0,88.38461538461539,112.0,278960.0,21458.46153846154,34370.0,6.0,0.0,4.0,4.0,26.0,Yes
PRV51007,72.0,33710.0,468.19444444444446,10000.0,19000.0,14710.0,1.291638341264446,68.30555555555556,0.0,1.6388888888888888,1.4444444444444444,1.6944444444444444,1.8333333333333333,1.7777777777777777,1.5972222222222223,1.3194444444444444,1.2916666666666667,1.7083333333333333,1.6944444444444444,1.8333333333333333,142.0,1.0,72.0,6.0,9.0,33710.0,2809.1666666666665,11710.0,10.0,1.0,7.0,2.0,6.0,No
PRV51008,42.0,35530.0,845.952380952381,21000.0,25000.0,10530.0,2.3741690408357075,74.33333333333333,0.0,1.619047619047619,1.4285714285714286,1.6666666666666667,1.809523809523809,1.809523809523809,1.7142857142857142,1.3095238095238095,1.238095238095238,1.761904761904762,1.880952380952381,1.9523809523809523,87.0,2.0,42.0,3.5,6.0,35530.0,2960.833333333333,21210.0,10.0,2.0,5.0,2.0,9.0,No
PRV51011,53.0,15280.0,288.3018867924528,5000.0,5000.0,10280.0,0.4863813229571984,74.20754716981132,0.0,1.528301886792453,1.3584905660377358,1.5471698113207548,1.9245283018867925,1.660377358490566,1.471698113207547,1.30188679245283,1.2452830188679245,1.6415094339622642,1.7358490566037736,1.981132075471698,103.0,0.0,53.0,4.416666666666667,8.0,15280.0,1273.3333333333333,5160.0,25.0,0.0,13.0,1.0,9.0,No
PRV51012,48.0,16890.0,351.875,3300.0,0.0,16890.0,0.0,73.54166666666667,0.0,1.625,1.4583333333333333,1.5416666666666667,1.875,1.5625,1.6041666666666667,1.2708333333333333,1.2083333333333333,1.6458333333333333,1.6458333333333333,1.9375,96.0,0.0,48.0,4.0,12.0,16890.0,1407.5,7510.0,14.0,0.0,13.0,3.0,6.0,No
PRV51013,44.0,14440.0,328.1818181818182,1800.0,0.0,14440.0,0.0,73.22727272727273,0.0,1.6136363636363635,1.4090909090909092,1.568181818181818,1.9318181818181817,1.6363636363636365,1.5909090909090908,1.181818181818182,1.2272727272727273,1.7272727272727273,1.6363636363636365,1.9545454545454544,90.0,0.0,44.0,3.6666666666666665,6.0,14440.0,1203.3333333333333,3040.0,9.0,0.0,4.0,2.0,8.0,No
PRV51014,30.0,10480.0,349.3333333333333,3300.0,0.0,10480.0,0.0,70.2,0.0,1.4666666666666666,1.4333333333333331,1.4666666666666666,1.9333333333333331,1.7,1.6666666666666667,1.3666666666666667,1.3333333333333333,1.8,1.6,1.9,76.0,0.0,30.0,3.0,6.0,10480.0,1048.0,4260.0,7.0,0.0,8.0,2.0,6.0,No
